config,seed,benchmark,variant,metric,rows,value,path
name_grounded_qanswer_countryfinal_qmask05_bos,seed_41,geomlama,custom_tminus_eminus,accuracy,150,41.333333333333336,/path/to/metacul/results/external_benchmarks_raw3b_unified_search_seed41/name_grounded_qanswer_countryfinal_qmask05_bos/seed_41/geomlama/custom_tminus_eminus/geomlama_custom_tminus_eminus.jsonl
name_grounded_qanswer_countryfinal_qmask05_bos,seed_41,geomlama,custom_tplus_eplus,accuracy,150,34.66666666666667,/path/to/metacul/results/external_benchmarks_raw3b_unified_search_seed41/name_grounded_qanswer_countryfinal_qmask05_bos/seed_41/geomlama/custom_tplus_eplus/geomlama_custom_tplus_eplus.jsonl
name_plain_qanswer_countryfinal_qmask05_bos,seed_41,geomlama,custom_tminus_eminus,accuracy,150,41.333333333333336,/path/to/metacul/results/external_benchmarks_raw3b_unified_search_seed41/name_plain_qanswer_countryfinal_qmask05_bos/seed_41/geomlama/custom_tminus_eminus/geomlama_custom_tminus_eminus.jsonl
name_plain_qanswer_countryfinal_qmask05_bos,seed_41,geomlama,custom_tplus_eplus,accuracy,150,41.333333333333336,/path/to/metacul/results/external_benchmarks_raw3b_unified_search_seed41/name_plain_qanswer_countryfinal_qmask05_bos/seed_41/geomlama/custom_tplus_eplus/geomlama_custom_tplus_eplus.jsonl
name_plain_qanswer_countryfinal_qmask05_bos,seed_41,globalopinionqa,custom_tminus_eminus,accuracy,10275,21.35279805352798,/path/to/metacul/results/external_benchmarks_raw3b_unified_search_seed41/name_plain_qanswer_countryfinal_qmask05_bos/seed_41/globalopinionqa/custom_tminus_eminus/globalopinionqa_custom_tminus_eminus.jsonl
name_plain_qanswer_countryfinal_qmask05_bos,seed_41,globalopinionqa,custom_tplus_eplus,accuracy,10275,22.121654501216543,/path/to/metacul/results/external_benchmarks_raw3b_unified_search_seed41/name_plain_qanswer_countryfinal_qmask05_bos/seed_41/globalopinionqa/custom_tplus_eplus/globalopinionqa_custom_tplus_eplus.jsonl
name_plain_qanswer_countryfinal_qmask05_bos,seed_41,mmlu,custom_tminus_eminus,accuracy,12991,25.725502270802863,/path/to/metacul/results/external_benchmarks_raw3b_unified_search_seed41/name_plain_qanswer_countryfinal_qmask05_bos/seed_41/mmlu/custom_tminus_eminus/mmlu_custom_tminus_eminus.jsonl
name_plain_qanswer_countryfinal_qmask05_bos,seed_41,mmlu,custom_tplus_eplus,accuracy,12413,25.610247321356646,/path/to/metacul/results/external_benchmarks_raw3b_unified_search_seed41/name_plain_qanswer_countryfinal_qmask05_bos/seed_41/mmlu/custom_tplus_eplus/mmlu_custom_tplus_eplus.jsonl
name_plain_qanswer_countryfinal_qmask05_bos,seed_41,worldvaluebench,custom_tminus_eminus,accuracy,1405,21.352313167259787,/path/to/metacul/results/external_benchmarks_raw3b_unified_search_seed41/name_plain_qanswer_countryfinal_qmask05_bos/seed_41/worldvaluebench/custom_tminus_eminus/worldvaluebench_custom_tminus_eminus.jsonl
name_plain_qanswer_countryfinal_qmask05_bos,seed_41,worldvaluebench,custom_tplus_eplus,accuracy,1405,20.640569395017792,/path/to/metacul/results/external_benchmarks_raw3b_unified_search_seed41/name_plain_qanswer_countryfinal_qmask05_bos/seed_41/worldvaluebench/custom_tplus_eplus/worldvaluebench_custom_tplus_eplus.jsonl
name_strict_qanswer_countryfinal_qmask05_bos,seed_41,geomlama,custom_tminus_eminus,accuracy,150,41.333333333333336,/path/to/metacul/results/external_benchmarks_raw3b_unified_search_seed41/name_strict_qanswer_countryfinal_qmask05_bos/seed_41/geomlama/custom_tminus_eminus/geomlama_custom_tminus_eminus.jsonl
name_strict_qanswer_countryfinal_qmask05_bos,seed_41,geomlama,custom_tplus_eplus,accuracy,150,36.0,/path/to/metacul/results/external_benchmarks_raw3b_unified_search_seed41/name_strict_qanswer_countryfinal_qmask05_bos/seed_41/geomlama/custom_tplus_eplus/geomlama_custom_tplus_eplus.jsonl
