benchmark,protocol,family,seed,comparison,metric,direction,positive_variant,negative_variant,positive_metric,negative_metric,delta_positive_better,requirement_satisfied,valid_for_comparison,positive_rows,negative_rows,positive_constant_score_rate,negative_constant_score_rate,positive_first_option_prediction_rate,negative_first_option_prediction_rate,positive_tokenizer_sources,negative_tokenizer_sources,positive_tokenizer_classes,negative_tokenizer_classes,positive_tokenizer_vocab_sizes,negative_tokenizer_vocab_sizes,notes,positive_jsonl,negative_jsonl,run_dir
globalmmlu_cs,figure9_1b,maple_1b,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.3,0.2333333333,0.06666666667,1,1,120,120,0,0,0.4416666667,0.3833333333,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-1B,PreTrainedTokenizerFast,PreTrainedTokenizerFast,128000,128000,,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalmmlu_cs/figure9_1b/maple_1b/seed_41/globalmmlu_cs/globalmmlu_cs_custom_tplus_eplus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalmmlu_cs/figure9_1b/maple_1b/seed_41/globalmmlu_cs/globalmmlu_cs_custom_tminus_eminus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalmmlu_cs/figure9_1b/maple_1b/seed_41/globalmmlu_cs
globalmmlu_cs,figure9_3b,maple_1b,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.2416666667,0.2583333333,-0.01666666667,0,1,120,120,0,0,0.3916666667,0.2666666667,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-1B,PreTrainedTokenizerFast,PreTrainedTokenizerFast,128000,128000,,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalmmlu_cs/figure9_3b/maple_1b/seed_41/globalmmlu_cs/globalmmlu_cs_custom_tplus_eplus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalmmlu_cs/figure9_3b/maple_1b/seed_41/globalmmlu_cs/globalmmlu_cs_custom_tminus_eminus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalmmlu_cs/figure9_3b/maple_1b/seed_41/globalmmlu_cs
globalmmlu_cs,letter_country_first,maple_1b,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.2083333333,0.2416666667,-0.03333333333,0,1,120,120,0,0,0.35,0.875,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-1B,PreTrainedTokenizerFast,PreTrainedTokenizerFast,128000,128000,,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalmmlu_cs/letter_country_first/maple_1b/seed_41/globalmmlu_cs/globalmmlu_cs_custom_tplus_eplus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalmmlu_cs/letter_country_first/maple_1b/seed_41/globalmmlu_cs/globalmmlu_cs_custom_tminus_eminus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalmmlu_cs/letter_country_first/maple_1b/seed_41/globalmmlu_cs
globalmmlu_cs,letter_legacy,maple_1b,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.2833333333,0.2333333333,0.05,1,1,120,120,0,0,0.375,0.6666666667,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-1B,PreTrainedTokenizerFast,PreTrainedTokenizerFast,128000,128000,,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalmmlu_cs/letter_legacy/maple_1b/seed_41/globalmmlu_cs/globalmmlu_cs_custom_tplus_eplus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalmmlu_cs/letter_legacy/maple_1b/seed_41/globalmmlu_cs/globalmmlu_cs_custom_tminus_eminus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalmmlu_cs/letter_legacy/maple_1b/seed_41/globalmmlu_cs
globalmmlu_cs,figure9_1b,maple_3b,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.2833333333,0.25,0.03333333333,1,1,120,120,0,0,0.3833333333,0.3583333333,/path/to/metacul/models/combined_with_metadata_3b,/path/to/metacul/models/combined_without_metadata_3b,PreTrainedTokenizerFast,PreTrainedTokenizerFast,128000,128000,,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalmmlu_cs/figure9_1b/maple_3b/seed_41/globalmmlu_cs/globalmmlu_cs_custom_tplus_eplus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalmmlu_cs/figure9_1b/maple_3b/seed_41/globalmmlu_cs/globalmmlu_cs_custom_tminus_eminus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalmmlu_cs/figure9_1b/maple_3b/seed_41/globalmmlu_cs
globalmmlu_cs,figure9_3b,maple_3b,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.2666666667,0.25,0.01666666667,1,1,120,120,0,0,0.3583333333,0.4416666667,/path/to/metacul/models/combined_with_metadata_3b,/path/to/metacul/models/combined_without_metadata_3b,PreTrainedTokenizerFast,PreTrainedTokenizerFast,128000,128000,,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalmmlu_cs/figure9_3b/maple_3b/seed_41/globalmmlu_cs/globalmmlu_cs_custom_tplus_eplus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalmmlu_cs/figure9_3b/maple_3b/seed_41/globalmmlu_cs/globalmmlu_cs_custom_tminus_eminus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalmmlu_cs/figure9_3b/maple_3b/seed_41/globalmmlu_cs
globalmmlu_cs,letter_country_first,maple_3b,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.2583333333,0.3,-0.04166666667,0,1,120,120,0,0,0.975,0.7416666667,/path/to/metacul/models/combined_with_metadata_3b,/path/to/metacul/models/combined_without_metadata_3b,PreTrainedTokenizerFast,PreTrainedTokenizerFast,128000,128000,,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalmmlu_cs/letter_country_first/maple_3b/seed_41/globalmmlu_cs/globalmmlu_cs_custom_tplus_eplus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalmmlu_cs/letter_country_first/maple_3b/seed_41/globalmmlu_cs/globalmmlu_cs_custom_tminus_eminus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalmmlu_cs/letter_country_first/maple_3b/seed_41/globalmmlu_cs
globalmmlu_cs,letter_legacy,maple_3b,seed_41,T+I+ vs T-I-,accuracy,higher_is_better,custom_tplus_eplus,custom_tminus_eminus,0.2833333333,0.1833333333,0.1,1,1,120,120,0,0,0.7666666667,0.425,/path/to/metacul/models/combined_with_metadata_3b,/path/to/metacul/models/combined_without_metadata_3b,PreTrainedTokenizerFast,PreTrainedTokenizerFast,128000,128000,,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalmmlu_cs/letter_legacy/maple_3b/seed_41/globalmmlu_cs/globalmmlu_cs_custom_tplus_eplus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalmmlu_cs/letter_legacy/maple_3b/seed_41/globalmmlu_cs/globalmmlu_cs_custom_tminus_eminus.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalmmlu_cs/letter_legacy/maple_3b/seed_41/globalmmlu_cs
globalmmlu_cs,figure9_1b,llama32_1b,seed_41,I+ vs I-,accuracy,higher_is_better,llama3_chat_with_metadata,llama3_chat_without_metadata,0.3,0.2583333333,0.04166666667,1,1,120,120,0,0,0.4333333333,0.5333333333,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-1B,PreTrainedTokenizerFast,PreTrainedTokenizerFast,128000,128000,,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalmmlu_cs/figure9_1b/llama32_1b/seed_41/globalmmlu_cs/globalmmlu_cs_llama3_chat_with_metadata.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalmmlu_cs/figure9_1b/llama32_1b/seed_41/globalmmlu_cs/globalmmlu_cs_llama3_chat_without_metadata.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalmmlu_cs/figure9_1b/llama32_1b/seed_41/globalmmlu_cs
globalmmlu_cs,figure9_3b,llama32_1b,seed_41,I+ vs I-,accuracy,higher_is_better,llama3_chat_with_metadata,llama3_chat_without_metadata,0.225,0.175,0.05,1,1,120,120,0,0,0.25,0.25,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-1B,PreTrainedTokenizerFast,PreTrainedTokenizerFast,128000,128000,,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalmmlu_cs/figure9_3b/llama32_1b/seed_41/globalmmlu_cs/globalmmlu_cs_llama3_chat_with_metadata.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalmmlu_cs/figure9_3b/llama32_1b/seed_41/globalmmlu_cs/globalmmlu_cs_llama3_chat_without_metadata.jsonl,/path/to/metacul/results/external_protocol_probes_tokenizerfix_20260504_120/globalmmlu_cs/figure9_3b/llama32_1b/seed_41/globalmmlu_cs
